--- DIAGNOSING FOLDER LOCK ON: C:\Users\user\AppData\Local\Programs\Study Tracker ---
Current Time: 2026-05-28 01:51:53
FAIL: Folder is locked. Error: The process cannot access the file because it is being used by another process.

--- ALL RUNNING PROCESSES ---
PID: 43252 | Name: Adobe Crash Processor | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\node_modules\adobe-cr\build\Release\Adobe Crash Processor.exe
PID: 21768 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 27944 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 30684 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 33672 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 35924 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 36092 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 39240 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 40616 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 41952 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 44824 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 45128 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 47084 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 50388 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 53804 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 54204 | Name: chrome | Company: Google LLC | Path: C:\Program Files\Google\Chrome\Application\chrome.exe
PID: 3336 | Name: cmd | Company:  | Path: 
PID: 22032 | Name: cmd | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\cmd.exe
PID: 32504 | Name: cmd | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\cmd.exe
PID: 54736 | Name: cmd | Company: Microsoft Corporation | Path: C:\WINDOWS\System32\cmd.exe
PID: 22136 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 23688 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 29608 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 30604 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 31232 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 33840 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 40676 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 43764 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 44952 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 52800 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 55884 | Name: Code | Company: Microsoft Corporation | Path: C:\Users\user\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 18148 | Name: codex | Company:  | Path: C:\Users\user\AppData\Local\OpenAI\Codex\bin\3f4fb8cdd344abc7\codex.exe
PID: 32820 | Name: codex | Company:  | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\resources\codex.exe
PID: 34060 | Name: Codex | Company: OpenAI | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\Codex.exe
PID: 37140 | Name: Codex | Company: OpenAI | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\Codex.exe
PID: 40124 | Name: Codex | Company: OpenAI | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\Codex.exe
PID: 42028 | Name: Codex | Company: OpenAI | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\Codex.exe
PID: 42104 | Name: Codex | Company: OpenAI | Path: C:\Program Files\WindowsApps\OpenAI.Codex_26.519.5221.0_x64__2p2nqsd0c76g0\app\Codex.exe
PID: 4676 | Name: collector_service | Company:  | Path: 
PID: 1924 | Name: conhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\conhost.exe
PID: 4144 | Name: conhost | Company:  | Path: 
PID: 7988 | Name: conhost | Company:  | Path: 
PID: 9396 | Name: conhost | Company:  | Path: 
PID: 9492 | Name: conhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\conhost.exe
PID: 12448 | Name: conhost | Company:  | Path: 
PID: 18736 | Name: conhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\conhost.exe
